0109=1972年1月9日 建筑学家梁思成逝世
0109=1968年1月9日 阿拉伯石油输出国组织成立
0109=1964年1月9日 巴拿马的“全国哀悼日”
0109=1946年1月9日 中国代表在远东国际军事法庭参加审判战犯
0109=1283年1月9日 文天祥殉难
0110=2002年1月10日 中国“民俗学之父”钟敬文病逝
0110=2000年1月10日 美国在线联姻时代华纳
0110=1971年1月10日 法国著名时装设计师科科·夏奈尔去世
0110=1964年1月10日 我国与突尼斯建交
0110=1949年1月10日 淮海战役结束
0110=1946年1月10日 “政协会议”否定国民党独裁统治
0110=1946年1月10日 第一届联合国大会第一期会议举行
0110=1920年1月10日 国际联盟成立
0110=1914年1月10日 商务印书馆创办人夏瑞芳逝世
0111=1962年1月11日 “七千人大会”召开
0111=1943年1月11日 中英中美签订新约废除在华治外法权
0111=1938年1月11日 《新华日报》创刊
0111=1926年1月11日 张作霖宣布东三省独立
0111=1903年1月11日 伟大的国际主义战士罗生特诞辰
0111=1885年1月11日 中日友好先驱者之一内山完造诞辰
0111=1868年1月11日 蔡元培诞辰
0111=1851年1月11日 太平天国金田起义
0112=2002年1月12日 首次全国范围价格听证会——铁路旅客列车价格听证会举行
0112=1995年1月12日 何梁何利设立科学奖励基金
0112=1994年1月12日 我国与莱索托王国恢复外交关系
0112=1983年1月12日 我国与安哥拉建交
0112=1949年1月12日 第一次中东战争结束
0112=1947年1月12日 刘胡兰英勇就义
0112=1922年1月12日 香港海员大罢工
0112=1876年1月12日 美国作家杰克·伦敦诞辰
0112=1875年1月12日 清同治帝载淳病逝
0113=2001年1月13日 中美洲发生7.6级地震萨尔瓦多死亡355人
0113=1997年1月13日 假冒他人名义向我国走私“洋垃圾”威廉·平·陈受到法律制裁
0113=1993年1月13日 《禁止化学武器公约》签订
0113=1989年1月13日 《国家重点保护野生动物名录》颁布
0113=1988年1月13日 蒋经国在台北逝世
0113=1982年1月13日 中共中央和国务院进行机构改革
0113=1978年1月13日 长江源头及长度重新得到确认
0113=1975年1月13日 周恩来重申发展国民经济的两步设想
0113=1962年1月13日 东方歌舞团成立
0113=1904年1月13日 日俄战争爆发
0114=2000年1月14日 人类成功克隆猴
0114=1983年1月14日 麦当劳创始人雷·Ａ·克罗克逝世
0114=1983年1月14日 匈牙利爆发特大足球彩票丑闻
0114=1965年1月14日 中共中央开展“四清”运动
0114=1963年1月14日 法国禁止英国进入欧洲共同市场
0114=1956年1月14日 知识分子已是工人阶级的一部分
0114=1949年1月14日 毛泽东发表时局声明
0114=1947年1月14日 国际主义战士、日本作家绿川英子逝世
0114=1943年1月14日 卡萨布兰卡会议召开
0114=1940年1月14日 玛格丽特二世登基　丹麦历史上第二位女君主诞生
0114=1907年1月14日 秋瑾创办《中国女报》
0114=1894年1月14日 世界著名和平战士爱伦堡诞生
0114=1784年1月14日 美国独立战争正式结束
0115=2000年1月15日 云南姚安发生六点五级地震
0115=2000年1月15日 意一妇女一胞六胎
0115=1986年1月15日 国防大学正式成立
0115=1971年1月15日 京剧表演艺术家盖叫天逝世
0115=1959年1月15日 向秀丽牺牲
0115=1951年1月15日 中国人民解放军军事学院在南京成立
0115=1949年1月15日 天津解放
0115=1949年1月15日 中国人民解放军统一改称
0115=1935年1月15日 遵义会议召开
0115=1929年1月15日 美国民权运动领袖小马丁·路德·金诞辰
